Ragione sociale;Partita iva o CF;Indirizzo;Comune;CAP;Provincia;Stato;Telefono;Email;Codice Ateco;Descrizione Ateco;Forma giuridica;Legale Cognome;Legale Nome;Referente;Referente Email;Data convenzione;Scadenza convenzione
CISCO SYSTEMS S.R.L.;10978220159;VIA TORRI BIANCHE 8, PALAZZO ACERO;VIMERCATE;20871;MB;ITALIA;333 5949622;enardini@cisco.com;26.30.29;Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni;;MANGHI;GIANMATTEO;;;19-04-2022;19-04-2023
CIT S.P.A. - BAGUTTA;000000858770159;VIA MATTEUCCI,19;ARCORE;20853;MB;ITALIA;3339519886;salettigiulia@gmail.com;;;;GAVAZZENI;ANTONIO;;;;
CITY HOTELS COMPANY CINISELLO SRL (HOLIDAY INN MILANO NORD);03831140409;VIA CORNAGGIA, 44;CINISELLO BALSAMO;20092;MI;ITALIA;02 61291728;ricevimento@hizara.it;55.10.00;Alberghi;;CIAPPARELLI;ROBERTO;;;;
CIVIS ONLUS;09879808984;PIAZZA ERCULEA, 11 C/O MBS CONSULTING;MILANO;20100;MI;ITALIA;02 89096061 ;antonella.vitale@commongoods.it;;;;VITALE;ANTONELLA;;;;
CLINICA DENTALE DR. DATTOLA FRANCESCO;02645580784;VIA TAGLIABUE, 141;DESIO;20832;MB;ITALIA;;;;;;DATTOLA;FRANCESCO;;;;
CLINICA VETERINARIA BRIANZAVET;06873070962;VIA GIOTTO ANGOLO VIA DONATELLO;CAPONAGO;20867;MB;ITALIA;02/95746128;info@brianzavet.it;;;;MARZOLA;BARBARA;MARZOLA BARBARA;info@brianzavet.it;;
CLINICA VETERINARIA CITTÀ DI MONZA;08809380960;VIA E. MESSA,7;MONZA;20900;MB;ITALIA;039835300;amministrazione@clinvetmonza.it;75.0;SERVIZI VETERINARI;;DONISELLI;LUCA;;;04-05-2021;04-05-2022
CLINICA VETERINARIA GALAPAGOS;07690880963;VIA P.C. VISMARA 81;AGRATE BRIANZA;20864;MB;ITALIA;0396210185;clinicaveterinariagalapagos@gmail.com;75;;;BRAMBILLA;CHIARA;;;15-10-2021;15-10-2022
CLINICA VETERINARIA MONFERRATO;1928370061;CORSO MONFERRATO 81;ALESSANDRIA;15100;AL;ITALIA;;;75;SERVIZI VETERINARI;;PASTORINO;DANIELA;;;;
CLINICA VETERINARIA PARCO DI MONZA;03970260968;VIA LEONARDO DA VINCI,56;VILLASANTA;20852;MB;ITALIA;;;75.0;SERVIZI VETERINARI;;PEDROLETTI;STEFANIA;;;;
CLINICA VETERINARIA SAN LORENZO;03793470166;VIA DEI PIAZZOLI 1;SUISIO;24040;BG;ITALIA;0354948656;info@clinicaveterinariasanlorenzo.it;;;;FERRARI;ALESSANDRO;;;20-06-2018;19-06-2019
CLINICA VETERINARIA SAN MAURIZIO;08597590960;VIA FABIO FILZI, 5;COLOGNO MONZESE;20093;MI;ITALIA;02 2730 7870;info@clinicaveterinariasanmaurizio.it;;;;ZAGARELLA;STEFANIA;;;20-10-2021;20-10-2022
CLOCK TRAVEL SRL;00984100966;VIA GARIBALDI 2;VIMERCATE;20871;MB;ITALIA;0396081376;soniamerlotti@clocktravel.it;79.11;Attività delle agenzie di viaggio;;MERLOTTI;SONIA;;;04-06-2018;03-06-2019
CMB SOC. COOP;0154410369;VIA CECHOV, 50;MILANO;20100;MI;ITALIA;;simone.motta@cmbcarpi.it;;;;CACIOPPO;EMILIANO;;;;
CMT SRL;09760300153;VIA BARTOLOMEO D'ALVIANO 18;MILANO;20100;MI;ITALIA;024390383;cmt@cmtcongressi.it;74.30;Traduzione e interpretariato;;AJMONE;CRISTINA;;;23-09-2021;22-09-2022
CNR- Consiglio Nazionale delle Ricerche;02118311006;VIA ROBERTO COZZI 53;MILANO;20125;MI;ITALIA;0266173236;;72.1;RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA;;LONTANO;MAURIZIO GIUSEPPE;;;06-05-2019;06-05-2020
CNS GARDEN SRLS;08625070969;STRADA PROVINCIALE 45 VILLASANTA-VIMERCATE, 1;VILLASANTA;20852;MB;ITALIA;3442745436;cnsgarden@libero.it ;47.76.1;Commercio al dettaglio di fiori e piante;;CONSONNI;FRANCESCA;;;04-06-2018;03-06-2019
CO.A.FRA. SOCIETA' AGRICOLA COOPERATIVA SOCIALE;10187740153;VIA AL CAVAROTT, SNC;CERNUSCO SUL NAVIGLIO;20063;MI;ITALIA;02/9249433;agricola@nibai.it;01.6;ATTIVITÀ DI SUPPORTO ALL'AGRICOLTURA E ATTIVITÀ SUCCESSIVE ALLA RACCOLTA;;BIANCHESSI;MASSIMO ROSOLO;;;;
COLLEGIO DEI GEOMETRI;94606270158;VIA FERRARI,39;MONZA;20900;MB;ITALIA;;;71.12.30;Attività tecniche svolte da geometri;;SPECCHIO;MICHELE;;;;
COLLEGIO DEI GEOMETRI;94606270158;VIA FERRARI,39;MONZA;20900;MB;ITALIA;;;71.12.30;Attività tecniche svolte da geometri;;SPECCHIO;MICHELE;;;;
COLMAS S.R.L.;IT01903390035;VIA BUONARROTI 43;SAN PIETRO MOSEZZO;28060;NO;ITALIA;0321033316;info@colmas.net;282500;;;MILAN;STEFANO;;;14-01-2019;14-01-2020
COLOMBO E C SRL;02153240961;VIA GORIZIA 3;LISSONE;20851;MB;ITALIA;039465204;info@stcolombo.it;63.11.1;;;BOLDI;STEFANO;BRIOSCHI SABRINA;sabrina@stcolombo.it;08-06-2021;08-06-2022
COMI IVANA ASSICURAZIONI;02081850964;VIA MANZONI 26/A;ARCORE;20862;MB;ITALIA;039616477;comi.assicurazioni@yahoo.it;;;;COMI;IVANA;;;;
COMITATO MARIA LETIZIA VERGA;97015930155;VIA PERGOLESI,33 - MONZA;MONZA;20900;MB;ITALIA;039-2333526;amministrazione@comitatomarialetiziaverga.org;;;;GIOVANNI VERGA;;;;;
COMUNE DI ARCORE - BIBLIOTECA;988560967;LARGO V.VELA N.1;ARCORE;20862;MB;ITALIA;039 60171 ;v.ragaini@cubinrete.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;COLOMBO;ROSALBA PIERA;;;;
COMUNE DI ARCORE - BIBLIOTECA;988560967;LARGO V.VELA N.1;ARCORE;20862;MB;ITALIA;039 60171 ;v.ragaini@cubinrete.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;COLOMBO;ROSALBA PIERA;;;;
COMUNE DI ARCORE - BIBLIOTECA;988560967;LARGO V.VELA N.1;ARCORE;20862;MB;ITALIA;039 60171 ;v.ragaini@cubinrete.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;COLOMBO;ROSALBA PIERA;;;;
COMUNE DI ARCORE - BIBLIOTECA;988560967;LARGO V.VELA N.1;ARCORE;20862;MB;ITALIA;039 60171 ;v.ragaini@cubinrete.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;COLOMBO;ROSALBA PIERA;;;;
COMUNE DI ARCORE - BIBLIOTECA;988560967;LARGO V.VELA N.1;ARCORE;20862;MB;ITALIA;039 60171 ;v.ragaini@cubinrete.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;COLOMBO;ROSALBA PIERA;;;;
COMUNE DI BIASSONO;7338509600;VIA SAN MARTINO,9;BIASSONO;20046;MB;ITALIA;0392201031;personale@biassono.org;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;CASIRAGHI;LUCIANO;MAFFUCCI;maffucci.giuseppe@biassono.org;03-06-2021;03-06-2022
COMUNE DI BRUGHERIO;00745520965;PIAZZA C. BATTISTI 1;BRUGHERIO;20861;MB;ITALIA;392893217;s.agnes@comune.brugherio.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;TAVELLA;NUNZIA FRANCESCA;MAGGIONI ORNELLA;o.maggioni@comune.brugherio.mb.it;08-06-2018;20-09-2019
COMUNE DI BRUGHERIO;00745520965;PIAZZA C. BATTISTI 1;BRUGHERIO;20861;MB;ITALIA;392893217;s.agnes@comune.brugherio.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;TAVELLA;NUNZIA FRANCESCA;MAGGIONI ORNELLA;o.maggioni@comune.brugherio.mb.it;08-06-2018;20-09-2019
COMUNE DI BRUGHERIO;00745520965;PIAZZA C. BATTISTI 1;BRUGHERIO;20861;MB;ITALIA;392893217;s.agnes@comune.brugherio.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;TAVELLA;NUNZIA FRANCESCA;MAGGIONI ORNELLA;o.maggioni@comune.brugherio.mb.it;08-06-2018;20-09-2019
COMUNE DI BRUGHERIO;00745520965;PIAZZA C. BATTISTI 1;BRUGHERIO;20861;MB;ITALIA;392893217;s.agnes@comune.brugherio.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;TAVELLA;NUNZIA FRANCESCA;MAGGIONI ORNELLA;o.maggioni@comune.brugherio.mb.it;08-06-2018;20-09-2019
COMUNE DI CAVENAGO BRIANZA;00714490968;PIAZZA LIBERTÀ, 18;CAVENAGO DI BRIANZA;20873;MB;ITALIA;029524141;protocollo@pec.comune.cavenagobrianza.mb.it;;;;PIROVANO;LAURA;;;24-05-2019;24-05-2020
COMUNE DI CERNUSCO SUL NAVIGLIO;01217430154;VIA TIZZONI 2;CERNUSCO SUL NAVIGLIO;20063;MI;ITALIA;029278371;personale@comune.cernuscosulnaviglio.mi.it;;;;LA FAUCI;FABIO;;;23-06-2021;22-06-2022
COMUNE DI CONCOREZZO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;LOMAZZI;ELENA;;;08-06-2021;08-06-2022
COMUNE DI CONCOREZZO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;LOMAZZI;ELENA;;;08-06-2021;08-06-2022
COMUNE DI CONCOREZZO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;LOMAZZI;ELENA;;;08-06-2021;08-06-2022
COMUNE DI CONCOREZZO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;LOMAZZI;ELENA;;;08-06-2021;08-06-2022
COMUNE DI CONCOREZZO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;LOMAZZI;ELENA;;;08-06-2021;08-06-2022
COMUNE DI CONCOREZZO;00741200968;PIAZZA DELLA PACE, 2;CONCOREZZO;20863;MB;ITALIA;39628001;personale@comune.concorezzo.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;LOMAZZI;ELENA;;;08-06-2021;08-06-2022
COMUNE DI CORREZZANA;00986460962;VIA A. DE GASPERI, 7;CORREZZANA;20856;MB;ITALIA;0396065373; protocollo@comune.correzzana.mb.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;CORBETTA;MARIO;;;23-01-2019;23-03-2020
COMUNE DI LESMO;748750965;VIA VITTORIO VENETO 15;LESMO;20855;MB;ITALIA;0396985599;mp.zimbaldi@comune.lesmo.mb.it;;;;ANTONIOLI;ROBERTO EDOARDO;MARIA PIA ZIMBALDI;;10-01-2018;10-01-2019
COMUNE DI LESMO;748750965;VIA VITTORIO VENETO 15;LESMO;20855;MB;ITALIA;0396985599;mp.zimbaldi@comune.lesmo.mb.it;;;;ANTONIOLI;ROBERTO EDOARDO;MARIA PIA ZIMBALDI;;10-01-2018;10-01-2019
COMUNE DI LESMO - NON USARE;000000000008;VIALE RIMEMBRANZE;LESMO;20855;MB;ITALIA;;m.mangano@comune.lesmo.mb.it;;;;ANTONIOLI;ROBERTO EDOARDO;;;;
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MONZA;02030880153;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA; 039-2359043;tirocini@comune.monza.it;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;SICILIANO;MICHELE;;;26-11-2021;26-10-2022
COMUNE DI MUGGIO;07400570965;PIAZZA MATTEOTTI,1;MUGGIO';20053;MI;ITALIA;;pubblica.istruzione@comune.muggio.mb.it;;;;;;;;;
COMUNE DI SEGRATE;01703890150;;Segrate;;;ITALIA;; ;;;;;;;;;
COMUNE DI SEGRATE;01703890150;;Segrate;;;ITALIA;; ;;;;;;;;;
COMUNE DI SEGRATE;01703890150;;Segrate;;;ITALIA;; ;;;;;;;;;
COMUNE DI USMATE VELATE;01482570155;CORSO ITALIA,22 -;USMATE VELATE;20865;MB;ITALIA;;;;;;;;;;;
COMUNE DI VILLASANTA;3245720150;P.ZZA MARTIRI DELLA LIBERTA' ,7;VILLASANTA;20852;MB;ITALIA;039/23754211;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;CASTOLDI;LAURA MARIA;;;05-02-2018;04-02-2020
COMUNE DI VILLASANTA;3245720150;P.ZZA MARTIRI DELLA LIBERTA' ,7;VILLASANTA;20852;MB;ITALIA;039/23754211;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;CASTOLDI;LAURA MARIA;;;05-02-2018;04-02-2020
COMUNE DI VILLASANTA;3245720150;P.ZZA MARTIRI DELLA LIBERTA' ,7;VILLASANTA;20852;MB;ITALIA;039/23754211;;84.11.10;Attività degli organi legislativi ed esecutivi, centrali e locali amministrazione finanziaria amministrazioni regionali, provinciali e comunali;;CASTOLDI;LAURA MARIA;;;05-02-2018;04-02-2020
COMUNE MONZA - SETTORE PROGETTAZIONE E MANUTENZIONI;00728830969;PIAZZA TRENTO E TRIESTE;MONZA;20900;MB;ITALIA;039/2359042-71;manalloggi@comune.monza.it;;;;SICILIANO;MICHELE;DR. MICHELE VARIN;;;
COMUNE MONZA UFFICIO CATASTO;000000000090;VICOLO BORGHETTO 10;MONZA;20900;MB;ITALIA;0393900322;;;;;DEL RIU;ROSARIA;;;;
CONFARTIGIANATO NOVA M.;09265300133;;;;;ITALIA;;l.sclafani@apconartigianato.it;69.20.13;Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attività in materia di amministrazione, contabilità e tributi;;;;;;24-04-2018;23-04-2019
CONGEST S.A.S;00805590965;VIA MODIGLIANI, 11- MONZA;MONZA;20900;MB;ITALIA;039-830741;longoni@congestsas.it;;;;LONGONI PAOLO;;;;;
CONSORZIO PARCO GRUGNOTORTO VILLORESI;91099880154;PIAZZA GIO.I.A.;NOVA MILANESE;20834;MB;ITALIA;0362374512;grugnotorto@comune.paderno-dugnano.mi.it;R.91.04.00;;;BRIOSCHI;GIORGIO;;;;
COOP LA COCCINELLA SCRL ONLUS;02893130969;VIA DON MINZONI,42;CONCOREZZO;20863;MB;ITALIA;;;;;;RONCO;ELENA;;;;
COOPERATIVA SOCIALE META ONLUS;02800890960;VIA LECCO 190;Monza;20900;MB;ITALIA;3476945272;metamonza@metacoop.org;;;;RIBOLDI;DANIELA;;;26-02-2021;26-02-2022
CORDEN PHARMA S.P.A.;6618650961;VIALE DELL'INDUSTRIA, 3;CAPONAGO;20867;MB;ITALIA;;;;;;MCGLYNN;BRIAN;;;;
CORSO1;2134267891011;via parmenide;;;;;;mapelli.alternanza@mapelli.monza.gov.it;;;;;;;;;
CREDA ONLUS;94518970150;PARCO DI MONZA- VIALE BRIANZA 1 - MONZA;MONZA;20900;MB;ITALIA;039-9451248;luca.baglivo@creda.it;;;;LUCA BAGLIVO;;;;;
CRISTINA GIANNICO;10171860967;VIA G. D'ANNUNZIO 17;MONZA;20900;MB;ITALIA;;studiogiannicocristina@gmail.com;;;;GIANNICO;CRISITINA;;;22-09-2018;21-09-2019
CROCE ROSSA ITALIANA COMITATO DI MONZA;084663309969;VIA PACINOTTI 2;MONZA;20900;MB;ITALIA;039204591;monza@cri.it;949990;;;GUERNELLI;MARCO;;;26-09-2018;25-09-2019
CRV DI CIRAVOLO GIUSEPPE;5560610965;VIA BORSA ,9;MONZA;20900;MB;ITALIA;;;289300;;;CIRAVOLO;GIUSEPPE;;;;
CSV;2774510966;VIA CORREGGIO, 59;MONZA;20900;MB;ITALIA;039-2848308;;94.99.90;;;VIGANO';FILIPPO;;;;
D&D DESIGN AND DIGITAL S.R.L.;04423770231;PIAZZETTA CAVALIER EMILIO DANESE, 4;BUSSOLENGO;37012;VR;ITALIA;039 2285477;rds@designanddigital.it;18.12.00;Altra stampa;SRL;DI STEFANO;ROSSANA;;;13-12-2018;13-12-2019
DAIANA SAS;04977970153;VIA MONTEROSA 21;MILANO;20100;MI;ITALIA;039-2300116;claudia@daianaincentive.it;;;;DEPONTI;ENRICA LUCIA;;;24-09-2019;23-09-2020
DALLEDONNE ANGELO;00869670190;Via Marconi 3a;;;;;3298964756;laura.dalledonne1@gmail.com;;;;;;ANGELO DALLEDONNE;;;
DASY DI MAGGIONI DESIREE;03888010133;LOC. MOSCORETTO 3;CERNUSCO LOMBARDONE;23870;LC;ITALIA;3343863323;daisy.maggioni.agricola@gmail.com;01.3/81.3;RIPRODUZIONE DELLE PIANTE;;MAGGIONI;DESIREE;;;07-06-2021;07-06-2022
DATA SERVICE SAS;02400000960;VIA GRAZIA DELEDDA, 12;PESSANO CON BORNAGO;20060;MI;ITALIA;;stefanofanni@dataservicesas.it;69.20.11;Servizi forniti da dottori commercialisti;;FANNI;PATRIZIA;;;16-01-2018;15-01-2019
DEA SPORT;8594380969;;MONZA;20900;MB;ITALIA;;;;;;;;;;;
DEDOMENA SAS;;;Monza;;;ITALIA;039 23011150;;;;SAS;;;;;;
DELICATESSE SPA;00691860969;VIA DEL LAVORO, 45/47;CONCOREZZO;20863;MB;ITALIA;039.6040563;stefania.bianchi@delicatesse.it;10.85.01;Produzione di piatti pronti a base di carne e pollame;;BIANCHI;STEFANIA;;;12-01-2018;11-02-2019
DELICATESSE SPA;00691860969;VIA DEL LAVORO, 45/47;CONCOREZZO;20863;MB;ITALIA;039.6040563;stefania.bianchi@delicatesse.it;10.85.01;Produzione di piatti pronti a base di carne e pollame;;BIANCHI;STEFANIA;;;12-01-2018;11-02-2019
DENTI ANDREA PABLO;08506140964;VIA TAZZA 10;USMATE VELATE;20865;MB;ITALIA;3474107302;ap.denti@libero.it;;;;DENTI;ANDREA PABLO;DENTI ANDREA PABLO;ap.denti@libero.it;08-03-2021;08-03-2022
DESTINAZIONE SOLE;05577260960;VIA DORIA, 29;BRUGHERIO;20861;MB;ITALIA;0392287011;brugherio@destinazionesole.it;;;;QUARANTA;KATIA;;;24-09-2018;23-09-2019
DEVO MARINE MALTA LTD;MT23615465;18 GOLDDUST, TRIQ IL QASAB -MALTA;COMUNE ESTERO;20801;EE;ITALIA;+356 99565631;lb@devomarine.co.uk;;;;BELFIORE;ANGELO LUCA;BELFIORE;;19-03-2019;19-03-2020
DIAPASON COOPERATIVA SOCIALE A.R.L. ONLUS;07882420156;VIA DOBERDÓ 22;milano;20126;MI;ITALIA;;coopdiapason@coopdiapason.it;;;;CATTANEO;PAOLO;;;;
DIAPASON COOPERATIVA SOCIALE A.R.L. ONLUS;07882420156;VIA DOBERDÓ 22;milano;20126;MI;ITALIA;;coopdiapason@coopdiapason.it;;;;CATTANEO;PAOLO;;;;
DIERRE TENDAGGI;09743160963;VIA TREVIGLIO 27;MILANO;20100;MI;ITALIA;;;;;;MAZZOLENI;DAVIDE;;;;
DIMAC RED SPA;13137960152;VIA GIOVANNI XXIII 25-20853 BIASSONO;BIASSONO;20853;MB;ITALIA;0392494856-INT.218;s.pontiroli@dimacred.com;;;;DI BARTOLO;GIUSEPPE;RITA RIVOLTA;;15-01-2019;14-01-2020
DISCORDIA PRODUCTION DI ALESSANDRO GIANNI;10280530964;VIA ASIAGO 55;MILANO;20128;MI;ITALIA;3924193390;alessandro.gianni@discordiaproduction.com;74.20.19;Altre attività di riprese fotografiche;;GIANNI;ALESSANDRO;;;16-02-2022;16-02-2023
DITTA FRASCHINI ALESSANDRO;0238660963;;;;MB;ITALIA;;;;;;;;;;;
DOG HOUSE;94061940154;VIA FABIO FILZI;AGRATE BRIANZA;20864;MB;ITALIA;;doghouseasilopercani@gmail.com;94.99.90;Attività di altre organizzazioni associative nca;;HENSEL;SARA;;;;
DOLCE & GABBANA S.R.L.;09297890155;VIA GOLDONI ,10;MILANO;20129;MI;ITALIA;331 409211;Giulia.bocchese@dolcegabbana.it;14.19.10;Confezioni varie e accessori per l'abbigliamento;S.R.L.;VAGHI;SILVANO;;;02-05-2018;01-05-2019
DOTT. MASSIMO CACCIAGUIDA;34567890121;CORSO XXII MARZO 4;MILANO;20100;MI;ITALIA;3496733583;massimo.cacciaguida@tiscali.it;;;;CACCIAGUIDA;MASSIMO;;;;
DOTT. VERGANI UMBERTO;03185880964;VIA VITTORIO EMANUELE II, 26;MONZA;20900;MB;ITALIA;039-2913242;DR.VERGANI@UMBERTOVERGANI.IT;69.20.11;Servizi forniti da dottori commercialisti;;VERGANI;UMBERTO;;;07-06-2021;07-06-2022
DOTT.SSA CRISTINA BONARDI;01963910136;VIA CASCINA AIROLDA;VERDERIO;23879;LC;ITALIA;3356143256;veterinariverderio@libero.it;0075;;;BONARDI;CRISTINA;;;;
DOTT.SSE GINA MASCALI E LUCIA BONTEMPO SNC;0392022006;VIA MODIGLIANI 1;MONZA;20900;MB;ITALIA;;farmaciamodigliani@gmail .com;;;;BONTEMPO;LUCIA;;;;
DOXEE S.P.A.;IT02714390362;VIALE VIRGILIO 48/B;MODENA;41100;MO;ITALIA;05988680;DOXEE@PEC.IT;;;;MURATORI CASALI;SERGIO;FACCHINI AGNESE;AFACCHINI@DOXEE.COM;21-05-2021;21-05-2022
DREAMS HOTEL SRL;8530380966;CORSO MAGENTA 54;MILANO;20100;MI;ITALIA;3401215866 ;cristina@dreamshotel.it;55.1;ALBERGHI E STRUTTURE SIMILI;;CATRI;MICHELE;MARIA CRISTINA AURORA;;01-10-2021;30-09-2022
DUEVI S.R.L.;6473230966;VIA SABIN, 15;CAVENAGO BRIANZA;;MB;ITALIA;0295335174;info@duevifornitureindustriali.it;;;;VIVARELLI ELISA;;;;;
EDIL BAGNO ORCHIDEA SRL;10015290157;VIA GRANDI 2;COLOGNO MONZESE;20093;MI;ITALIA;0222543360;edilbagno1992@gmail.mail;;;;COSENZA;FRANCESCO;;;;
EDIL VIBANDI S.R.L.;02609590969;VIA LUDOVICO ARIOSTO,11 -MONZA;MONZA;20900;MB;ITALIA;039-2841372;Edilvibandisrl@tiscali.it;41.2;;;SALERNO ROSA;;;;;
EDILVIT SRL;07763570152;Via Verona 12 Cernusco s/N;;;;;02 92101771;vergani.gianpiero@edilvit.it;;;;;;VERGANI GIANPIERO;;;
EDITRICE TEMI SRL;11489470150;VIA ITALIA 39;MONZA;20900;MB;ITALIA;039 2302398;pietro.salvioni@editricetemi.com;58.14.00;Edizione di riviste e periodici;;;;;;;
